Exercise name,Trainer Link, Vimeo Link, Vimeo Image, Matched, Gender (Male/Female/Anyone),Priority,Level,Location (Gym/Home/Any),Muscle Group,Metric 1,Metric 2,Personal Best Tracking
Wide Drop Squat,,https://vimeo.com/487929669,https://i.vimeocdn.com/video/1009804076_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Circuit Lower,Reps,Duration,Reps
Weighted Crunch,,https://vimeo.com/487929655,https://i.vimeocdn.com/video/1009804007_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Core Abdominals,Reps,Weight,Weight
BodyWeight Walking Lunges,,https://vimeo.com/487929648,https://i.vimeocdn.com/video/1009804074_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home Only,Circuit Lower,Reps,,Reps
Dumbbell walking lunges,,https://vimeo.com/487929643,https://i.vimeocdn.com/video/1009804100_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Quadriceps,Reps,Weight,Weight
V-Bar Pulldown,,https://vimeo.com/487929636,https://i.vimeocdn.com/video/1009803951_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Back,Reps,Weight,Weight
Tricep Rope Pushdown,,https://vimeo.com/487929614,https://i.vimeocdn.com/video/1009803853_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Triceps,Reps,Weight,Weight
Triceps Pushdown (Bar),,https://vimeo.com/487929611,https://i.vimeocdn.com/video/1009804023_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Triceps,Reps,Weight,Weight
Tricep Dips,,https://vimeo.com/487929599,https://i.vimeocdn.com/video/1009803796_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Triceps,Reps,Weight,Reps
Tricep Dips (Bench),,https://vimeo.com/487929582,https://i.vimeocdn.com/video/1009803799_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Triceps,Reps,Weight,Reps
Static Dumbbell Lunge,,https://vimeo.com/487929560,https://i.vimeocdn.com/video/1009803704_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Glutes,Reps,Weight,Weight
Barbell Static Lunge,,https://vimeo.com/487929556,https://i.vimeocdn.com/video/1009803781_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Glutes,Reps,Weight,Weight
Dumbbell Standing Calf Raise,,https://vimeo.com/487929541,https://i.vimeocdn.com/video/1009803682_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Calves,Reps,Weight,Weight
Smith Machine Reverse Lunges,,https://vimeo.com/487929508,https://i.vimeocdn.com/video/1009803636_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Quadriceps,Reps,Weight,Weight
Single Leg Leg Press,,https://vimeo.com/487929497,https://i.vimeocdn.com/video/1009803611_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Glutes,Reps,Weight,Weight
Dumbbell Single Arm Row,,https://vimeo.com/487929487,https://i.vimeocdn.com/video/1009803865_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Home and Gym,Back,Reps,Weight,Weight
Dumbbell Single Arm Row (2),,https://vimeo.com/487929485,https://i.vimeocdn.com/video/1009803902_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Home and Gym,Back,Reps,Weight,Weight
Single Leg Calf Raise,,https://vimeo.com/487929472,https://i.vimeocdn.com/video/1009803478_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Calves,Reps,Weight,Weight
Dumbbell Shoulder Press,,https://vimeo.com/487929464,https://i.vimeocdn.com/video/1009803486_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Shoulders,Reps,Weight,Weight
Seated Arnold Press,,https://vimeo.com/487929456,https://i.vimeocdn.com/video/1009803479_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Home and Gym,Shoulders,Reps,Weight,Weight
Barbell Rack Pull,,https://vimeo.com/487929409,https://i.vimeocdn.com/video/1009803428_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Back,Reps,Weight,Weight
Preacher Curl,,https://vimeo.com/487929383,https://i.vimeocdn.com/video/1009803326_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Biceps,Reps,Weight,Weight
